axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-0.625,-5446567.304268794,-3909.4292681915686,5446498.009937469,-69.29433132521808,-3978.7235995167866
x,-0.5,-5446566.258163713,-3127.773171368055,5446497.651719356,-68.60644435696304,-3196.379615725018
x,-0.375,-5446565.21205863,-2346.1170745473355,5446497.293501242,-67.91855738777667,-2414.035631935112
x,-0.25,-5446564.165953549,-1564.4609777256846,5446496.935283128,-67.23067042045295,-1631.6916481461376
x,-0.125,-5446563.809231322,-782.3485418306664,5446496.813129666,-66.99610165599734,-849.3446434866637
x,0.0,-5446563.809231322,0.0,5446496.813129666,-66.99610165599734,-66.99610165599734
x,0.125,-5446563.809231322,782.3485418306664,5446496.813129666,-66.99610165599734,715.352440174669
x,0.25,-5446564.165953549,1564.4609777256846,5446496.935283128,-67.23067042045295,1497.2303073052317
x,0.375,-5446565.21205863,2346.1170745473355,5446497.293501242,-67.91855738777667,2278.198517159559
x,0.5,-5446566.258163713,3127.773171368055,5446497.651719356,-68.60644435696304,3059.166727011092
x,0.625,-5446567.304268794,3909.4292681915686,5446498.009937469,-69.29433132521808,3840.1349368663505
x,0.75,-5446568.35061191,4691.085504498333,5446498.368238043,-69.98237386718392,4621.103130631149
x,0.875,-5446570.253664354,5473.308914139867,5446499.019851312,-71.23381304182112,5402.075101098046
x,1.0,-5446572.3484042715,6255.659179686569,5446499.737095449,-72.61130882240832,6183.04787086416
x,1.125,-5446574.443144189,7038.009445229545,5446500.454339583,-73.98880460578948,6964.020640623756
x,1.25,-5446577.059041323,7820.015061617829,5446501.350073487,-75.70896783657372,7744.306093781255
x,1.375,-5446580.197281772,8601.67464871332,5446502.424701504,-77.77258026786149,8523.902068445459
x,1.5,-5446583.335522222,9383.334235811606,5446503.499329522,-79.83619270008057,9303.498043111525
x,1.625,-5446586.473762672,10164.993822907098,5446504.573957542,-81.89980513043702,10083.09401777666
x,1.75,-5446589.6120031215,10946.65341000259,5446505.64858556,-83.96341756172478,10862.689992440864
x,1.875,-5446593.776347054,11728.992293845862,5446507.07446851,-86.70187854394317,11642.290415301919
x,2.0,-5446597.965827247,12511.34754030127,5446508.508956084,-89.4568711631,12421.89066913817
x,2.125,-5446602.155308934,13293.703065733425,5446509.94344417,-92.21186476387084,13201.491200969554
x,2.25,-5446607.029118809,14075.605656085536,5446511.612341738,-95.41677707061172,13980.188879014924
x,2.375,-5446612.259315029,14857.27209507674,5446513.403316213,-98.85599881596863,14758.416096260771
x,2.5,-5446617.4897500295,15638.938674049452,5446515.194373403,-102.29537662677467,15536.643297422677
x,2.625,-5446622.720185032,16420.60525302589,5446516.985430593,-105.73475443944335,16314.870498586446
x,2.75,-5446628.092606813,17202.36554081738,5446518.825085636,-109.26752117648721,17093.098019640893
x,2.875,-5446634.376806539,17984.729780120775,5446520.976807801,-113.39999873749912,17871.329781383276
