Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1243200045456,-2.9104614486198758e-34,-1.9079675473026907e-34,1.0441157198079597e-35
1529.1243250046166,-2.910528672307717e-34,-1.9080022724482611e-34,1.0440775394123951e-35
1529.1243300046876,-2.9105958992917213e-34,-1.9080369986994453e-34,1.0440393531214318e-35
1529.124335004759,-2.9106631295740587e-34,-1.9080717260572619e-34,1.0440011609331537e-35
1529.1243400048295,-2.9107303631511722e-34,-1.9081064545197766e-34,1.0439629628489028e-35
1529.1243450049008,-2.9107976000309527e-34,-1.9081411840909596e-34,1.0439247588635017e-35
1529.1243500049716,-2.9108648402003138e-34,-1.9081759147639514e-34,1.0438865489837086e-35
1529.1243550050426,-2.9109320836728648e-34,-1.90821064654568e-34,1.0438483332011006e-35
1529.1243600051137,-2.910999330446961e-34,-1.908245379435195e-34,1.0438101115159332e-35
1529.1243650051847,-2.9110665805190483e-34,-1.9082801134305575e-34,1.0437718839295346e-35
1529.1243700052555,-2.9111338338912975e-34,-1.9083148485327887e-34,1.0437336504399884e-35
1529.1243750053268,-2.911201090560153e-34,-1.9083495847399496e-34,1.0436954110486284e-35
1529.1243800053978,-2.911268350533508e-34,-1.9083843220560166e-34,1.0436571657502838e-35
1529.1243850054689,-2.9113356138059003e-34,-1.9084190604780658e-34,1.043618914547375e-35
1529.12439000554,-2.911402880377592e-34,-1.9084538000061317e-34,1.0435806574390645e-35
1529.124395005611,-2.9114701502488446e-34,-1.9084885406402462e-34,1.0435423944245175e-35
1529.124400005682,-2.9115374234218267e-34,-1.9085232823814302e-34,1.0435041255018162e-35
1529.124405005753,-2.911604699896802e-34,-1.9085580252297162e-34,1.043465850670132e-35
1529.124410005824,-2.9116719796740295e-34,-1.9085927691851378e-34,1.0434275699286128e-35
1529.124415005895,-2.9117392627499586e-34,-1.9086275142457576e-34,1.0433892832786128e-35
1529.124420005966,-2.9118065491324804e-34,-1.9086622604155504e-34,1.0433509907149445e-35
1529.124425006037,-2.9118738388161312e-34,-1.9086970076915943e-34,1.0433126922400285e-35
1529.124430006108,-2.9119411318049952e-34,-1.9087317560758932e-34,1.0432743878508589e-35
1529.124435006179,-2.9120084280916942e-34,-1.9087665055645387e-34,1.0432360775509477e-35
1529.12444000625,-2.912075727686037e-34,-1.908801256162492e-34,1.0431977613340232e-35
1529.1244450063211,-2.91214303057683e-34,-1.9088360078638726e-34,1.0431594392057757e-35
1529.1244500063922,-2.912210336775791e-34,-1.908870760674628e-34,1.0431211111588368e-35
1529.1244550064632,-2.9122776462793615e-34,-1.9089055145928207e-34,1.0430827771945553e-35
1529.1244600065345,-2.9123449590858975e-34,-1.9089402696174985e-34,1.0430444373131744e-35
1529.1244650066053,-2.912412275199477e-34,-1.9089750257506654e-34,1.0430060915116851e-35
1529.1244700066763,-2.9124795946165446e-34,-1.9090097829903844e-34,1.0429677397914287e-35
1529.1244750067474,-2.9125469173411814e-34,-1.90904454133866e-34,1.0429293821493868e-35
1529.1244800068182,-2.9126142433660125e-34,-1.9090793007915825e-34,1.042891018589079e-35
1529.1244850068892,-2.912681572695114e-34,-1.9091140613511569e-34,1.042852649107491e-35
1529.1244900069603,-2.9127489053325743e-34,-1.9091488230193883e-34,1.0428142737016105e-35
1529.124495007031,-2.912816241276742e-34,-1.9091835857953252e-34,1.0427758923716812e-35
1529.1245000071024,-2.9128835805259696e-34,-1.9092183496780128e-34,1.0427375051179644e-35
1529.1245050071734,-2.9129509230843405e-34,-1.9092531146694602e-34,1.0426991119374398e-35
1529.1245100072445,-2.913018268948297e-34,-1.9092878807677253e-34,1.0426607128314494e-35
1529.1245150073155,-2.913085618120011e-34,-1.9093226479738303e-34,1.0426223077980566e-35
1529.1245200073863,-2.9131529705997456e-34,-1.9093574162878067e-34,1.0425838968364359e-35
1529.1245250074576,-2.913220326383941e-34,-1.9093921857077163e-34,1.0425454799479218e-35
1529.1245300075286,-2.9132876854805027e-34,-1.9094269562375367e-34,1.0425070571273198e-35
1529.1245350075997,-2.9133550478801395e-34,-1.909461727872372e-34,1.0424686283792386e-35
1529.1245400076705,-2.9134224135869365e-34,-1.9094965006142263e-34,1.0424301937006602e-35
1529.1245450077415,-2.9134897826049755e-34,-1.9095312744651066e-34,1.0423917530885668e-35
1529.1245500078126,-2.91355715493261e-34,-1.9095660494240595e-34,1.0423533065432096e-35
1529.1245550078836,-2.9136245305701033e-34,-1.909600825491118e-34,1.0423148540637468e-35
1529.1245600079546,-2.913691909517716e-34,-1.909635602666316e-34,1.0422763956493394e-35
1529.1245650080257,-2.9137592917757115e-34,-1.9096703809496884e-34,1.0422379312991512e-35
1529.1245700080967,-2.9138266773443537e-34,-1.9097051603412666e-34,1.0421994610123393e-35
1529.1245750081678,-2.91389406621817e-34,-1.9097399408381254e-34,1.0421609847913404e-35
1529.1245800082388,-2.9139614584069807e-34,-1.9097747224452307e-34,1.0421225026298561e-35
1529.12458500831,-2.9140288538995796e-34,-1.909809505156696e-34,1.0420840145335989e-35
1529.124590008381,-2.9140962527134345e-34,-1.9098442889814347e-34,1.0420455204918989e-35
1529.124595008452,-2.9141636548335126e-34,-1.9098790739115882e-34,1.0420070205126529e-35
1529.124600008523,-2.914231060263902e-34,-1.9099138599491609e-34,1.041968514592838e-35
1529.1246050085938,-2.914298469004865e-34,-1.9099486470941877e-34,1.0419300027316088e-35
1529.1246100086648,-2.9143658810624007e-34,-1.9099834353496618e-34,1.0418914849248557e-35
1529.124615008736,-2.9144332964310352e-34,-1.9100182247126565e-34,1.041852961175007e-35
1529.124620008807,-2.9145007151091212e-34,-1.9100530151822185e-34,1.0418144314823205e-35
1529.124625008878,-2.914568137106481e-34,-1.9100878067633143e-34,1.0417758958404879e-35
1529.124630008949,-2.9146355624061673e-34,-1.910122599447097e-34,1.041737354258508e-35
1529.12463500902,-2.914702991029479e-34,-1.9101573932444547e-34,1.041698806723512e-35
1529.124640009091,-2.9147704229632944e-34,-1.9101921881485134e-34,1.0416602532423141e-35
1529.124645009162,-2.9148378582116983e-34,-1.91022698416128e-34,1.041621693811884e-35
1529.1246500092332,-2.914905296773043e-34,-1.9102617812818002e-34,1.0415831284324729e-35
1529.1246550093042,-2.9149727386514177e-34,-1.910296579512082e-34,1.0415445571010487e-35
1529.1246600093752,-2.915040183843259e-34,-1.9103313788501842e-34,1.0415059798189656e-35
1529.1246650094463,-2.915107632346917e-34,-1.910366179295154e-34,1.0414673965864696e-35
1529.124670009517,-2.915175084166482e-34,-1.910400980848999e-34,1.0414288074005317e-35
1529.124675009588,-2.915242539300303e-34,-1.9104357835107639e-34,1.0413902122614079e-35
1529.1246800096592,-2.9153099977524707e-34,-1.9104705872824578e-34,1.041351611166057e-35
1529.1246850097302,-2.9153774595194205e-34,-1.9105053921621388e-34,1.0413130041158338e-35
1529.1246900098013,-2.915444924609071e-34,-1.9105401981537896e-34,1.0412743911055108e-35
1529.1246950098723,-2.9155123930102047e-34,-1.9105750052515207e-34,1.0412357721408214e-35
1529.1247000099434,-2.915579864728826e-34,-1.9106098134583268e-34,1.0411971472176319e-35
1529.1247050100144,-2.915647339761369e-34,-1.910644622772266e-34,1.041158516337289e-35
1529.1247100100854,-2.9157148181157547e-34,-1.9106794331973217e-34,1.0411198794945687e-35
1529.1247150101565,-2.915782299788418e-34,-1.9107142447315518e-34,1.0410812366908216e-35
1529.1247200102275,-2.9158497847757935e-34,-1.9107490573730166e-34,1.041042587927393e-35
