Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1251400161934,-2.74998481421032e-34,-1.8016834775361157e-34,9.801897876114407e-36
1529.1251450162645,-2.7500485974564685e-34,-1.801716346767542e-34,9.801530301636247e-36
1529.1251500163355,-2.7501123838507834e-34,-1.801749217048305e-34,9.801162670401896e-36
1529.1251550164066,-2.7501761733862768e-34,-1.8017820883747048e-34,9.800794982445009e-36
1529.1251600164776,-2.75023996606682e-34,-1.8018149607486384e-34,9.800427237736646e-36
1529.1251650165486,-2.750303761890853e-34,-1.8018478341692065e-34,9.800059436279214e-36
1529.1251700166197,-2.750367560862245e-34,-1.8018807086383028e-34,9.799691578043822e-36
1529.1251750166905,-2.750431362977629e-34,-1.8019135841540942e-34,9.79932366304324e-36
1529.1251800167615,-2.7504951682354453e-34,-1.8019464607156807e-34,9.79895569127985e-36
1529.1251850168326,-2.7505589766431815e-34,-1.8019793383268216e-34,9.79858766270389e-36
1529.1251900169036,-2.750622788197472e-34,-1.8020122169856844e-34,9.798219577328158e-36
1529.1251950169749,-2.7506866028949463e-34,-1.802045096690435e-34,9.797851435165454e-36
1529.1252000170457,-2.7507504207376646e-34,-1.802077977442038e-34,9.797483236197304e-36
1529.1252050171167,-2.750814241729499e-34,-1.8021108592423877e-34,9.797114980394783e-36
1529.1252100171878,-2.750878065867079e-34,-1.8021437420896527e-34,9.79674666777065e-36
1529.1252150172588,-2.750941893157897e-34,-1.8021766259875928e-34,9.796378298275118e-36
1529.12522001733,-2.7510057235877204e-34,-1.8022095109287781e-34,9.796009871983645e-36
1529.125225017401,-2.7510695571694756e-34,-1.8022423969197703e-34,9.795641388815091e-36
1529.125230017472,-2.751133393897978e-34,-1.8022752839578003e-34,9.795272848792695e-36
1529.125235017543,-2.7511972337771034e-34,-1.8023081720447664e-34,9.794904251887469e-36
1529.1252400176138,-2.751261076796236e-34,-1.8023410611751027e-34,9.794535598154114e-36
1529.1252450176848,-2.7513249229701157e-34,-1.8023739513563027e-34,9.794166887500901e-36
1529.125250017756,-2.7513887722953693e-34,-1.802406842586532e-34,9.793798119940651e-36
1529.125255017827,-2.751452624766817e-34,-1.8024397348630227e-34,9.793429295496681e-36
1529.125260017898,-2.7515164803883317e-34,-1.8024726281876735e-34,9.793060414139961e-36
1529.125265017969,-2.751580339160164e-34,-1.8025055225605133e-34,9.792691475862469e-36
1529.12527001804,-2.7516442010825646e-34,-1.8025384179815753e-34,9.792322480656074e-36
1529.125275018111,-2.751708066153974e-34,-1.8025713144499572e-34,9.791953428523214e-36
1529.125280018182,-2.7517719343782665e-34,-1.8026042119675555e-34,9.791584319434824e-36
1529.1252850182532,-2.751835805748447e-34,-1.8026371105306701e-34,9.791215153424738e-36
1529.1252900183242,-2.751899680270203e-34,-1.8026700101421303e-34,9.79084593045343e-36
1529.1252950183953,-2.7519635579437823e-34,-1.8027029108019687e-34,9.79047665051282e-36
1529.1253000184663,-2.7520274387730624e-34,-1.8027358125120816e-34,9.790107313573902e-36
1529.1253050185371,-2.752091322747424e-34,-1.8027687152669022e-34,9.789737919691428e-36
1529.1253100186082,-2.752155209877989e-34,-1.8028016190720596e-34,9.789368468794416e-36
1529.1253150186792,-2.7522191001595733e-34,-1.8028345239247859e-34,9.788998960906272e-36
1529.1253200187502,-2.75228299359424e-34,-1.8028674298260463e-34,9.788629396008342e-36
1529.1253250188213,-2.7523468901840544e-34,-1.8029003367768044e-34,9.788259774082113e-36
