x_mm,force_x_trapping_on_n,force_x_trapping_off_n,effective_field_x_trapping_on_g
1.34,-1.8012488794856944e-21,-1.985116084951138e-36,2.7788995058012613
1.35,-1.8154551028115086e-21,8.801513951781878e-37,2.801171932112012
1.36,-1.829679035261737e-21,-6.303588456284517e-37,2.823479867591161
1.37,-1.843920786939207e-21,1.1681475111296482e-36,2.8458236243248947
1.3800000000000001,-1.8581804661977426e-21,1.2901050500274605e-36,2.8682035155625827
1.3900000000000001,-1.872458179605219e-21,3.4530146555404696e-37,2.890619855728262
1.4000000000000001,-1.8867540319061756e-21,-3.0988969823552554e-36,2.913072960432292
1.4100000000000001,-1.9010681259838952e-21,-1.9395656788567744e-36,2.935563146482984
1.42,-1.9154005628220802e-21,4.2567589179152086e-36,2.958090731898361
1.43,-1.9297514414659232e-21,-3.091550142662616e-36,2.9806560359180136
1.44,-1.9441208589827298e-21,-3.4853407501880825e-36,3.003259379014929
1.45,-1.958508910421985e-21,6.715011479072317e-37,3.02590108290755
1.46,-1.9729156887748852e-21,-1.295982521781572e-36,3.048581470571767
1.47,-1.9873412849333983e-21,6.715011479072317e-37,3.071300866253083
1.48,-2.001785787648581e-21,-3.7894999134633494e-36,3.0940595954788193
1.49,-2.0162492834885052e-21,2.3598049092757422e-36,3.1168579850704066
